batter_name,Role,Amount,Team,Year,Player Origin,matches,total_runs,dismissals,balls_faced,batting_avg,batting_sr,boundary_pct,non_boundary_sr,spinner_runs,spinner_dismissals,spinner_balls_faced,spinner_batting_avg,spinner_batting_sr,spinner_boundary_pct,spinner_non_boundary_sr,pacer_runs,pacer_dismissals,pacer_balls_faced,pacer_batting_avg,pacer_batting_sr,pacer_boundary_pct,pacer_non_boundary_sr
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014,Overseas,111,3448,100,2541,34.48,135.69,18.97%,61.39,716,20,470,35.80,152.34,21.28%,66.49,1770,50,1355,35.40,130.63,18.52%,59.24
Aaron Finch,Batsman,32000000,Mumbai Indians,2015,Overseas,111,3448,100,2541,34.48,135.69,18.97%,61.39,716,20,470,35.80,152.34,21.28%,66.49,1770,50,1355,35.40,130.63,18.52%,59.24
Aaron Finch,Batsman,10000000,Gujarat Lions,2016,Overseas,111,3448,100,2541,34.48,135.69,18.97%,61.39,716,20,470,35.80,152.34,21.28%,66.49,1770,50,1355,35.40,130.63,18.52%,59.24
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018,Overseas,111,3448,100,2541,34.48,135.69,18.97%,61.39,716,20,470,35.80,152.34,21.28%,66.49,1770,50,1355,35.40,130.63,18.52%,59.24
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas,111,3448,100,2541,34.48,135.69,18.97%,61.39,716,20,470,35.80,152.34,21.28%,66.49,1770,50,1355,35.40,130.63,18.52%,59.24
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhimanyu Mithun,Bowler,3000000,Mumbai Indians,2015,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhinav Sadarangani,Batsman,26000000,Gujarat Titans,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhishek Nayar,All-Rounder,50625000,Pune Warriors India,2013,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Milne,Bowler,7000000,Royal Challengers Bangalore,2015,Overseas,5,18,0,16,NA,112.50,6.25%,93.33,NA,NA,NA,NA,NA,NA,NA,18,0,16,NA,112.50,6.25%,93.33
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas,5,18,0,16,NA,112.50,6.25%,93.33,NA,NA,NA,NA,NA,NA,NA,18,0,16,NA,112.50,6.25%,93.33
Adam Milne,Bowler,19000000,Chennai Super Kings,2022,Overseas,5,18,0,16,NA,112.50,6.25%,93.33,NA,NA,NA,NA,NA,NA,NA,18,0,16,NA,112.50,6.25%,93.33
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas,11,56,7,49,8.00,114.29,12.24%,69.77,13,3,10,4.33,130.00,20.00%,62.50,20,3,22,6.67,90.91,9.09%,60.00
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajantha Mendis,Bowler,54375000,Pune Warriors India,2013,Overseas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian,70,2048,56,1730,36.57,118.38,13.87%,67.92,515,18,466,28.61,110.52,8.80%,78.82,1207,30,986,40.23,122.41,16.63%,60.95
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022,Indian,70,2048,56,1730,36.57,118.38,13.87%,67.92,515,18,466,28.61,110.52,8.80%,78.82,1207,30,986,40.23,122.41,16.63%,60.95
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akash Singh,Bowler,2000000,Rajasthan Royals,2020,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
