"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"1","Aaron Finch","Batsman",4e+07,"Sunrisers Hyderabad",2014,"Overseas","SLA","Spinner",18,136,"22.4",226,5,"9.97","27.20"
"2","Aaron Finch","Batsman",3.2e+07,"Mumbai Indians",2015,"Overseas","SLA","Spinner",18,136,"22.4",226,5,"9.97","27.20"
"3","Aaron Finch","Batsman",1e+07,"Gujarat Lions",2016,"Overseas","SLA","Spinner",18,136,"22.4",226,5,"9.97","27.20"
"4","Aaron Finch","Batsman",6.2e+07,"Kings XI Punjab",2018,"Overseas","SLA","Spinner",18,136,"22.4",226,5,"9.97","27.20"
"5","Aaron Finch","Batsman",4.4e+07,"Royal Challengers Bangalore",2020,"Overseas","SLA","Spinner",18,136,"22.4",226,5,"9.97","27.20"
"6","Abdul Samad","All-Rounder",2e+06,"Sunrisers Hyderabad",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Abhijeet Tomar","Batsman",4e+06,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Abhimanyu Mithun","Bowler",3e+06,"Mumbai Indians",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Abhimanyu Mithun","Bowler",3e+06,"Sunrisers Hyderabad",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abhinav Sadarangani","Batsman",2.6e+07,"Gujarat Titans",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Abhishek Nayar","All-Rounder",50625000,"Pune Warriors India",2013,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Abhishek Nayar","All-Rounder",1e+07,"Rajasthan Royals",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Abhishek Sharma","All-Rounder",5500000,"Delhi Daredevils",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Abhishek Sharma","All-Rounder",6.5e+07,"Sunrisers Hyderabad",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Abu Nechim Ahmed","Bowler",3e+06,"Royal Challengers Bangalore",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Adam Milne","Bowler",7e+06,"Royal Challengers Bangalore",2015,"Overseas","RFM","Pacer",15,325,"54.1",359,21,"6.63","15.48"
"17","Adam Milne","Bowler",3.2e+07,"Mumbai Indians",2021,"Overseas","RFM","Pacer",15,325,"54.1",359,21,"6.63","15.48"
"18","Adam Milne","Bowler",1.9e+07,"Chennai Super Kings",2022,"Overseas","RFM","Pacer",15,325,"54.1",359,21,"6.63","15.48"
"19","Adam Zampa","Bowler",3e+06,"Rising Pune Supergiant",2016,"Overseas","LS","Spinner",34,728,"121.2",852,39,"7.02","18.67"
"20","Aditya Garhwal","All-Rounder",2500000,"Kolkata Knight Riders",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Aditya Tare","Wicket Keeper",1.6e+07,"Mumbai Indians",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Aditya Tare","Wicket Keeper",1.2e+07,"Sunrisers Hyderabad",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Aditya Tare","Wicket Keeper",2500000,"Delhi Daredevils",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Aditya Tare","Wicket Keeper",2e+06,"Mumbai Indians",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Agnivesh Ayachi","All-Rounder",2e+06,"Kings XI Punjab",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Aiden Blizzard","Batsman",3e+06,"Mumbai Indians",2015,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Aiden Markram","Batsman",2.6e+07,"Sunrisers Hyderabad",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Ajantha Mendis","Bowler",54375000,"Pune Warriors India",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Ajinkya Rahane","Batsman",4e+07,"Rajasthan Royals",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Ajinkya Rahane","Batsman",1e+07,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Akash Deep","Bowler",2e+06,"Royal Challengers Bangalore",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Akash Singh","Bowler",2e+06,"Rajasthan Royals",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Akash Singh","Bowler",2e+06,"Rajasthan Royals",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Akhil Arvind Herwadkar","All-Rounder",1e+06,"Delhi Daredevils",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Akila Dananjaya","All-Rounder",1500000,"Chennai Super Kings",2013,"Overseas","OS","Spinner",1,6,"1.0",12,0,"12.00",NA
"36","Akila Dhananjaya","Bowler",5e+06,"Mumbai Indians",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Akshar Rajesh Patel","All-Rounder",7500000,"Kings XI Punjab",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Akshay Karnewar","All-Rounder",1e+06,"Royal Challengers Bangalore",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Akshay Wakhare","Bowler",1e+06,"Mumbai Indians",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Akshdeep Nath","All-Rounder",1e+06,"Gujarat Lions",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
